t	PopSize	m_Het	s2_Het	n_Het
228	100	2.613050e-03	1.030616e-03	5000
229	100	2.576900e-03	1.030959e-03	5000
230	100	2.476240e-03	9.911901e-04	5000
231	100	2.360260e-03	9.264228e-04	5000
232	100	2.415080e-03	9.700118e-04	5000
233	100	2.274380e-03	9.057755e-04	5000
234	100	2.198470e-03	8.654610e-04	5000
235	100	2.135600e-03	8.320336e-04	5000
236	100	2.047180e-03	7.923937e-04	5000
237	100	1.957660e-03	7.303154e-04	5000
238	100	1.848090e-03	6.702986e-04	5000
239	100	1.753330e-03	6.241321e-04	5000
240	100	1.708060e-03	6.180614e-04	5000
241	100	1.583310e-03	5.781896e-04	5000
242	100	1.559260e-03	5.562893e-04	5000
243	100	1.532320e-03	5.358438e-04	5000
244	100	1.511140e-03	5.483335e-04	5000
245	100	1.463330e-03	5.199516e-04	5000
246	100	1.340060e-03	4.485245e-04	5000
247	100	1.404810e-03	5.056152e-04	5000
248	100	1.447220e-03	5.481992e-04	5000
249	100	1.394480e-03	5.199092e-04	5000
250	100	1.394090e-03	5.094948e-04	5000
251	100	1.351520e-03	5.104480e-04	5000
252	100	1.255820e-03	4.679922e-04	5000
253	100	1.362990e-03	5.267068e-04	5000
254	100	1.318500e-03	5.056256e-04	5000
255	100	1.315430e-03	4.972497e-04	5000
256	100	1.318870e-03	5.263818e-04	5000
257	100	1.230900e-03	5.124065e-04	5000
258	100	1.276300e-03	5.342357e-04	5000
259	100	1.215870e-03	4.973309e-04	5000
260	100	1.244800e-03	5.227989e-04	5000
261	100	1.221290e-03	5.129006e-04	5000
262	100	1.172610e-03	4.771562e-04	5000
263	100	1.179870e-03	5.009791e-04	5000
264	100	1.213480e-03	5.053314e-04	5000
265	100	1.188440e-03	4.874523e-04	5000
266	100	1.181220e-03	4.746339e-04	5000
267	100	1.163160e-03	4.712998e-04	5000
268	100	1.186010e-03	4.914738e-04	5000
269	100	1.121860e-03	4.407409e-04	5000
270	100	1.085020e-03	4.247574e-04	5000
271	100	1.068460e-03	4.145044e-04	5000
272	100	9.677200e-04	3.628188e-04	5000
273	100	9.422900e-04	3.530494e-04	5000
274	100	9.411400e-04	3.538960e-04	5000
275	100	9.552500e-04	3.820854e-04	5000
276	100	8.966300e-04	3.526010e-04	5000
277	100	8.574100e-04	3.403020e-04	5000
278	100	8.481700e-04	3.580126e-04	5000
279	100	8.146000e-04	3.454483e-04	5000
280	100	8.000100e-04	3.401925e-04	5000
281	100	8.422200e-04	3.784491e-04	5000
282	100	8.579000e-04	4.004037e-04	5000
283	100	8.850200e-04	4.089200e-04	5000
284	100	8.561300e-04	3.860436e-04	5000
285	100	8.108100e-04	3.697578e-04	5000
286	100	7.651000e-04	3.495878e-04	5000
287	100	7.821800e-04	3.628908e-04	5000
288	100	7.081600e-04	3.060138e-04	5000
289	100	7.667800e-04	3.372049e-04	5000
290	100	7.864300e-04	3.385933e-04	5000
291	100	7.682000e-04	3.269723e-04	5000
292	100	7.279300e-04	2.998046e-04	5000
293	100	7.357600e-04	3.051532e-04	5000
294	100	6.488300e-04	2.496152e-04	5000
295	100	6.847600e-04	2.757159e-04	5000
296	100	7.209000e-04	2.976739e-04	5000
297	100	7.392600e-04	3.086472e-04	5000
298	100	6.890600e-04	2.850363e-04	5000
299	100	6.490200e-04	2.530437e-04	5000
300	100	5.912900e-04	2.280538e-04	5000
301	100	6.256700e-04	2.441604e-04	5000
302	100	6.303900e-04	2.610932e-04	5000
303	100	6.230000e-04	2.639500e-04	5000
304	100	6.587400e-04	2.914658e-04	5000
305	100	6.413900e-04	2.870000e-04	5000
306	100	6.374500e-04	2.824578e-04	5000
307	100	6.658200e-04	2.982745e-04	5000
308	100	6.439400e-04	2.737787e-04	5000
309	100	6.105300e-04	2.627906e-04	5000
310	100	5.877600e-04	2.528961e-04	5000
311	100	5.552300e-04	2.277543e-04	5000
312	100	4.939900e-04	1.838212e-04	5000
313	100	5.073100e-04	1.962375e-04	5000
314	100	5.153900e-04	1.972448e-04	5000
315	100	5.192600e-04	2.054107e-04	5000
316	100	5.122100e-04	2.083474e-04	5000
317	100	5.308300e-04	2.165313e-04	5000
318	100	4.918800e-04	2.038371e-04	5000
319	100	5.131900e-04	2.286926e-04	5000
320	100	5.301600e-04	2.387441e-04	5000
321	100	5.531600e-04	2.441636e-04	5000
322	100	5.413800e-04	2.355051e-04	5000
323	100	5.714800e-04	2.505365e-04	5000
324	100	5.717300e-04	2.558414e-04	5000
325	100	5.617400e-04	2.442824e-04	5000
326	100	5.130100e-04	2.133860e-04	5000
327	100	5.095800e-04	2.239360e-04	5000
328	100	4.972800e-04	2.149155e-04	5000
329	100	4.905000e-04	2.098513e-04	5000
330	100	4.924100e-04	2.048377e-04	5000
331	100	4.824900e-04	1.978834e-04	5000
332	100	4.297200e-04	1.599768e-04	5000
333	100	4.466100e-04	1.767617e-04	5000
334	100	4.294900e-04	1.673848e-04	5000
335	100	4.311200e-04	1.743602e-04	5000
336	100	4.392500e-04	1.772741e-04	5000
337	100	4.154600e-04	1.678563e-04	5000
338	100	4.206100e-04	1.846654e-04	5000
339	100	4.054900e-04	1.657330e-04	5000
340	100	4.021800e-04	1.663519e-04	5000
341	100	3.905300e-04	1.685434e-04	5000
342	100	3.710500e-04	1.565264e-04	5000
343	100	3.293800e-04	1.391464e-04	5000
344	100	3.207500e-04	1.239128e-04	5000
345	100	3.042700e-04	1.226284e-04	5000
346	100	2.739700e-04	1.089814e-04	5000
347	100	2.845600e-04	1.033133e-04	5000
348	100	2.644900e-04	1.012197e-04	5000
349	100	2.589900e-04	1.072472e-04	5000
350	100	2.648800e-04	1.050442e-04	5000
351	100	2.501400e-04	9.731170e-05	5000
352	100	1.916100e-04	7.083950e-05	5000
353	100	2.273200e-04	9.084034e-05	5000
354	100	2.225500e-04	9.625439e-05	5000
355	100	2.077900e-04	8.489730e-05	5000
356	100	2.262400e-04	9.693409e-05	5000
357	100	2.094100e-04	7.839229e-05	5000
358	100	2.254900e-04	8.984156e-05	5000
